name,family,clauses,trigger_count,missed_failed_long_count,triggered_rescue_failure_count,route2_win_count,true_long_count,short_risk_count,current_pass_risk_count,missed_failed_long_recall,true_long_precision,short_risk_rate,current_pass_risk_rate,score,decision,stable_folds,fold_missed_failed_long_counts
baseline_top1_median_le_0p421875,trace_shape,"[[""baseline_top1_median"", ""<="", 0.421875]]",50,0,29,6,31,6,0,0.0,0.62,0.12,0.0,60.480000000000004,reject,0,"[0, 0, 0, 0, 0]"
precision_len32_trace_top1_median_le_0p421875,trace_shape,"[[""precision_len32_trace_top1_median"", ""<="", 0.421875]]",50,0,29,6,31,6,0,0.0,0.62,0.12,0.0,60.480000000000004,reject,0,"[0, 0, 0, 0, 0]"
precision_len24_trace_top1_median_le_0p421875,trace_shape,"[[""precision_len24_trace_top1_median"", ""<="", 0.421875]]",50,0,29,6,31,6,0,0.0,0.62,0.12,0.0,60.480000000000004,reject,0,"[0, 0, 0, 0, 0]"
broad_len24_trace_top1_median_le_0p421875,trace_shape,"[[""broad_len24_trace_top1_median"", ""<="", 0.421875]]",50,0,29,6,31,6,0,0.0,0.62,0.12,0.0,60.480000000000004,reject,0,"[0, 0, 0, 0, 0]"
baseline_confidence_median_le_0p578125,trace_shape,"[[""baseline_confidence_median"", ""<="", 0.578125]]",52,0,26,6,28,7,0,0.0,0.5384615384615384,0.1346153846153846,0.0,49.15384615384616,reject,0,"[0, 0, 0, 0, 0]"
baseline_top1_min_le_0p267578,trace_shape,"[[""baseline_top1_min"", ""<="", 0.267578125]]",52,2,25,5,29,9,1,0.03571428571428571,0.5576923076923077,0.17307692307692307,0.019230769230769232,45.230769230769226,reject,1,"[1, 0, 0, 1, 0]"
baseline_confidence_max_le_0p730469,trace_shape,"[[""baseline_confidence_max"", ""<="", 0.73046875]]",35,1,16,5,19,6,0,0.017857142857142856,0.5428571428571428,0.17142857142857143,0.0,37.17142857142858,reject,1,"[0, 0, 0, 0, 1]"
precision_len32_trace_confidence_max_le_0p730469,trace_shape,"[[""precision_len32_trace_confidence_max"", ""<="", 0.73046875]]",35,1,16,5,19,6,0,0.017857142857142856,0.5428571428571428,0.17142857142857143,0.0,37.17142857142858,reject,1,"[0, 0, 0, 0, 1]"
precision_len24_trace_confidence_max_le_0p730469,trace_shape,"[[""precision_len24_trace_confidence_max"", ""<="", 0.73046875]]",35,1,16,5,19,6,0,0.017857142857142856,0.5428571428571428,0.17142857142857143,0.0,37.17142857142858,reject,1,"[0, 0, 0, 0, 1]"
broad_len24_trace_confidence_max_le_0p730469,trace_shape,"[[""broad_len24_trace_confidence_max"", ""<="", 0.73046875]]",35,1,16,5,19,6,0,0.017857142857142856,0.5428571428571428,0.17142857142857143,0.0,37.17142857142858,reject,1,"[0, 0, 0, 0, 1]"
baseline_gap_median_le_0p296875,trace_shape,"[[""baseline_gap_median"", ""<="", 0.296875]]",64,0,31,6,33,12,2,0.0,0.515625,0.1875,0.03125,28.0625,reject,0,"[0, 0, 0, 0, 0]"
baseline_last_remaining_decrease_step_ge_53,trace_shape,"[[""baseline_last_remaining_decrease_step"", "">="", 53.0]]",71,5,28,5,36,13,10,0.08928571428571429,0.5070422535211268,0.18309859154929578,0.14084507042253522,28.02816901408451,reject,2,"[1, 2, 0, 2, 0]"
baseline_confidence_min_le_0p476562,trace_shape,"[[""baseline_confidence_min"", ""<="", 0.4765625]]",52,2,23,6,27,11,4,0.03571428571428571,0.5192307692307693,0.21153846153846154,0.07692307692307693,27.07692307692308,reject,1,"[1, 0, 0, 1, 0]"
baseline_confidence_last_le_0p730469,trace_shape,"[[""baseline_confidence_last"", ""<="", 0.73046875]]",38,1,16,5,19,8,0,0.017857142857142856,0.5,0.21052631578947367,0.0,27.0,reject,1,"[0, 0, 0, 0, 1]"
baseline_top1_last_le_0p300781,trace_shape,"[[""baseline_top1_last"", ""<="", 0.30078125]]",44,1,21,5,24,10,1,0.017857142857142856,0.5454545454545454,0.22727272727272727,0.022727272727272728,24.181818181818187,reject,1,"[1, 0, 0, 0, 0]"
precision_len32_trace_top1_last_le_0p300781,trace_shape,"[[""precision_len32_trace_top1_last"", ""<="", 0.30078125]]",44,1,21,5,24,10,1,0.017857142857142856,0.5454545454545454,0.22727272727272727,0.022727272727272728,24.181818181818187,reject,1,"[1, 0, 0, 0, 0]"
precision_len24_trace_top1_last_le_0p300781,trace_shape,"[[""precision_len24_trace_top1_last"", ""<="", 0.30078125]]",44,1,21,5,24,10,1,0.017857142857142856,0.5454545454545454,0.22727272727272727,0.022727272727272728,24.181818181818187,reject,1,"[1, 0, 0, 0, 0]"
broad_len24_trace_top1_last_le_0p300781,trace_shape,"[[""broad_len24_trace_top1_last"", ""<="", 0.30078125]]",44,1,21,5,24,10,1,0.017857142857142856,0.5454545454545454,0.22727272727272727,0.022727272727272728,24.181818181818187,reject,1,"[1, 0, 0, 0, 0]"
baseline_confidence_first_le_0p482422,trace_shape,"[[""baseline_confidence_first"", ""<="", 0.482421875]]",50,2,23,5,27,11,4,0.03571428571428571,0.54,0.22,0.08,22.159999999999997,reject,1,"[1, 0, 0, 1, 0]"
baseline_confidence_max_le_0p824219,trace_shape,"[[""baseline_confidence_max"", ""<="", 0.82421875]]",71,2,31,6,35,16,4,0.03571428571428571,0.49295774647887325,0.22535211267605634,0.056338028169014086,17.97183098591549,reject,0,"[1, 0, 0, 0, 1]"
precision_len32_trace_confidence_max_le_0p824219,trace_shape,"[[""precision_len32_trace_confidence_max"", ""<="", 0.82421875]]",71,2,31,6,35,16,4,0.03571428571428571,0.49295774647887325,0.22535211267605634,0.056338028169014086,17.97183098591549,reject,0,"[1, 0, 0, 0, 1]"
precision_len24_trace_confidence_max_le_0p824219,trace_shape,"[[""precision_len24_trace_confidence_max"", ""<="", 0.82421875]]",71,2,31,6,35,16,4,0.03571428571428571,0.49295774647887325,0.22535211267605634,0.056338028169014086,17.97183098591549,reject,0,"[1, 0, 0, 0, 1]"
broad_len24_trace_confidence_max_le_0p824219,trace_shape,"[[""broad_len24_trace_confidence_max"", ""<="", 0.82421875]]",71,2,31,6,35,16,4,0.03571428571428571,0.49295774647887325,0.22535211267605634,0.056338028169014086,17.97183098591549,reject,0,"[1, 0, 0, 0, 1]"
baseline_confidence_median_le_0p476562,trace_shape,"[[""baseline_confidence_median"", ""<="", 0.4765625]]",19,0,8,3,9,3,0,0.0,0.47368421052631576,0.15789473684210525,0.0,17.89473684210526,reject,0,"[0, 0, 0, 0, 0]"
