stratum,task_id,task_group,split,oracle_length,oracle_bucket,primary_selected_length,primary_passed,recoverable_by_expansion,harmable_by_expansion,expansion_pass_count,triggered_long_proxy,missed_long_proxy,underselected_proxy
missed_failed_long,SingleLineInfilling/HumanEval/113/L3,HumanEval/113,validation,44,25+,6,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/148/L0,HumanEval/148,train,36,25+,4,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/87/L0,HumanEval/87,train,35,25+,5,False,True,False,1,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/51/L0,HumanEval/51,train,34,25+,3,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/88/L0,HumanEval/88,validation,34,25+,3,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/85/L0,HumanEval/85,train,32,25+,3,False,True,False,1,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/130/L7,HumanEval/130,train,31,25+,3,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/151/L0,HumanEval/151,train,30,25+,3,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/128/L1,HumanEval/128,train,29,25+,6,False,True,False,1,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/157/L0,HumanEval/157,train,29,25+,3,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/47/L4,HumanEval/47,train,29,25+,9,False,False,False,0,False,True,True
missed_failed_long,SingleLineInfilling/HumanEval/95/L16,HumanEval/95,train,29,25+,15,False,True,False,2,False,True,True
triggered_failed_long,SingleLineInfilling/HumanEval/80/L5,HumanEval/80,train,34,25+,20,False,True,False,1,True,False,True
triggered_failed_long,SingleLineInfilling/HumanEval/71/L3,HumanEval/71,validation,29,25+,16,False,True,False,2,True,False,True
triggered_failed_long,SingleLineInfilling/HumanEval/147/L0,HumanEval/147,train,22,17-24,16,False,True,False,1,True,False,True
triggered_failed_long,SingleLineInfilling/HumanEval/10/L5,HumanEval/10,train,17,17-24,16,False,True,False,1,True,False,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/125/L5,HumanEval/125,train,24,17-24,3,False,False,False,0,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/93/L3,HumanEval/93,train,24,17-24,3,False,False,False,0,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/136/L2,HumanEval/136,validation,23,17-24,3,False,False,False,0,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/11/L6,HumanEval/11,train,22,17-24,3,False,True,False,1,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/21/L2,HumanEval/21,train,22,17-24,3,False,False,False,0,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/116/L0,HumanEval/116,train,21,17-24,3,False,False,False,0,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/122/L0,HumanEval/122,train,21,17-24,3,False,False,False,0,False,True,True
medium_near_long_underselection,SingleLineInfilling/HumanEval/158/L0,HumanEval/158,validation,21,17-24,3,False,False,False,0,False,True,True
short_primary_pass_harmable,SingleLineInfilling/HumanEval/0/L4,HumanEval/0,train,7,<=8,8,True,False,True,3,False,False,False
short_primary_pass_harmable,SingleLineInfilling/HumanEval/1/L0,HumanEval/1,train,5,<=8,9,True,False,True,3,False,False,False
short_primary_pass_harmable,SingleLineInfilling/HumanEval/1/L1,HumanEval/1,train,6,<=8,6,True,False,True,3,False,False,False
short_primary_pass_harmable,SingleLineInfilling/HumanEval/1/L4,HumanEval/1,train,8,<=8,8,True,False,True,3,False,False,False
short_primary_pass_harmable,SingleLineInfilling/HumanEval/1/L8,HumanEval/1,train,7,<=8,7,True,False,True,3,False,False,False
short_primary_pass_harmable,SingleLineInfilling/HumanEval/10/L3,HumanEval/10,train,8,<=8,8,True,False,True,3,False,False,False
positive_control_recoverable,SingleLineInfilling/HumanEval/106/L0,HumanEval/106,train,5,<=8,7,False,True,False,4,False,False,False
positive_control_recoverable,SingleLineInfilling/HumanEval/12/L3,HumanEval/12,validation,14,13-16,7,False,True,False,4,False,False,True
positive_control_recoverable,SingleLineInfilling/HumanEval/133/L3,HumanEval/133,calibration,9,9-12,7,False,True,False,4,False,False,True
positive_control_recoverable,SingleLineInfilling/HumanEval/147/L4,HumanEval/147,train,11,9-12,13,False,True,False,4,False,False,False
positive_control_recoverable,SingleLineInfilling/HumanEval/150/L0,HumanEval/150,train,8,<=8,6,False,True,False,4,False,False,True
positive_control_recoverable,SingleLineInfilling/HumanEval/72/L0,HumanEval/72,train,9,9-12,6,False,True,False,4,False,False,True
positive_control_recoverable,SingleLineInfilling/HumanEval/72/L3,HumanEval/72,train,13,13-16,6,False,True,False,4,False,False,True
